Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,161,9,Some Random Commen with Id 0
1,0,1,203,3,Some Random Commen with Id 1
2,0,1,48,1,Some Random Commen with Id 2
3,0,1,209,3,Some Random Commen with Id 3
4,0,1,295,3,Some Random Commen with Id 4
5,0,1,307,3,Some Random Commen with Id 5
6,0,1,128,3,Some Random Commen with Id 6
7,1,6,78,7,Some Random Commen with Id 7
8,1,6,4,4,Some Random Commen with Id 8
9,2,2,1,0,Some Random Commen with Id 9
10,2,2,175,2,Some Random Commen with Id 10
11,2,2,156,7,Some Random Commen with Id 11
12,2,2,30,9,Some Random Commen with Id 12
13,2,2,232,7,Some Random Commen with Id 13
14,2,2,106,6,Some Random Commen with Id 14
15,2,2,393,3,Some Random Commen with Id 15
16,2,2,71,1,Some Random Commen with Id 16
17,3,3,78,0,Some Random Commen with Id 17
18,3,3,222,9,Some Random Commen with Id 18
19,4,1,215,7,Some Random Commen with Id 19
20,4,1,235,9,Some Random Commen with Id 20
21,4,1,128,9,Some Random Commen with Id 21
22,4,1,102,1,Some Random Commen with Id 22
23,4,1,312,9,Some Random Commen with Id 23
24,4,1,375,8,Some Random Commen with Id 24
25,4,1,373,0,Some Random Commen with Id 25
26,5,8,237,3,Some Random Commen with Id 26
27,5,8,229,1,Some Random Commen with Id 27
28,5,8,99,2,Some Random Commen with Id 28
29,5,8,216,1,Some Random Commen with Id 29
30,5,8,143,2,Some Random Commen with Id 30
31,5,8,94,3,Some Random Commen with Id 31
32,6,3,244,2,Some Random Commen with Id 32
33,6,3,121,5,Some Random Commen with Id 33
34,6,3,316,4,Some Random Commen with Id 34
35,6,3,299,7,Some Random Commen with Id 35
36,6,3,73,8,Some Random Commen with Id 36
37,6,3,345,7,Some Random Commen with Id 37
38,6,3,106,0,Some Random Commen with Id 38
39,7,7,77,3,Some Random Commen with Id 39
40,7,7,61,6,Some Random Commen with Id 40
41,7,7,389,1,Some Random Commen with Id 41
42,7,7,254,5,Some Random Commen with Id 42
43,7,7,102,3,Some Random Commen with Id 43
44,7,7,167,1,Some Random Commen with Id 44
45,7,7,285,7,Some Random Commen with Id 45
46,7,7,32,8,Some Random Commen with Id 46
47,7,7,269,2,Some Random Commen with Id 47
48,8,5,324,6,Some Random Commen with Id 48
49,8,5,39,9,Some Random Commen with Id 49
50,8,5,172,7,Some Random Commen with Id 50
51,8,5,41,2,Some Random Commen with Id 51
52,8,5,285,6,Some Random Commen with Id 52
53,8,5,153,0,Some Random Commen with Id 53
54,8,5,287,6,Some Random Commen with Id 54
55,8,5,13,6,Some Random Commen with Id 55
56,9,6,397,8,Some Random Commen with Id 56
57,10,0,336,1,Some Random Commen with Id 57
58,10,0,206,8,Some Random Commen with Id 58
59,10,0,143,7,Some Random Commen with Id 59
60,10,0,33,3,Some Random Commen with Id 60
61,10,0,11,0,Some Random Commen with Id 61
62,10,0,247,3,Some Random Commen with Id 62
63,10,0,330,4,Some Random Commen with Id 63
64,11,0,236,4,Some Random Commen with Id 64
65,11,0,292,0,Some Random Commen with Id 65
66,11,0,300,4,Some Random Commen with Id 66
67,11,0,398,4,Some Random Commen with Id 67
68,11,0,306,3,Some Random Commen with Id 68
69,11,0,99,1,Some Random Commen with Id 69
70,11,0,309,2,Some Random Commen with Id 70
71,11,0,204,9,Some Random Commen with Id 71
72,12,5,180,5,Some Random Commen with Id 72
73,12,5,23,2,Some Random Commen with Id 73
74,12,5,99,0,Some Random Commen with Id 74
75,12,5,98,9,Some Random Commen with Id 75
76,12,5,313,1,Some Random Commen with Id 76
77,12,5,167,8,Some Random Commen with Id 77
78,13,4,165,2,Some Random Commen with Id 78
79,13,4,211,5,Some Random Commen with Id 79
80,13,4,266,0,Some Random Commen with Id 80
81,13,4,45,3,Some Random Commen with Id 81
82,13,4,126,9,Some Random Commen with Id 82
83,13,4,138,0,Some Random Commen with Id 83
84,13,4,200,4,Some Random Commen with Id 84
85,13,4,187,1,Some Random Commen with Id 85
86,13,4,228,5,Some Random Commen with Id 86
87,14,5,45,2,Some Random Commen with Id 87
88,14,5,56,0,Some Random Commen with Id 88
89,14,5,244,1,Some Random Commen with Id 89
90,14,5,205,2,Some Random Commen with Id 90
91,14,5,130,6,Some Random Commen with Id 91
92,16,0,207,1,Some Random Commen with Id 92
93,16,0,327,4,Some Random Commen with Id 93
94,17,3,373,9,Some Random Commen with Id 94
95,17,3,102,7,Some Random Commen with Id 95
96,17,3,28,4,Some Random Commen with Id 96
97,17,3,295,2,Some Random Commen with Id 97
98,17,3,343,8,Some Random Commen with Id 98
99,17,3,276,4,Some Random Commen with Id 99
100,18,7,148,9,Some Random Commen with Id 100
101,18,7,323,9,Some Random Commen with Id 101
102,18,7,313,9,Some Random Commen with Id 102
103,18,7,112,1,Some Random Commen with Id 103
104,18,7,210,0,Some Random Commen with Id 104
105,18,7,397,2,Some Random Commen with Id 105
106,18,7,170,1,Some Random Commen with Id 106
107,18,7,120,7,Some Random Commen with Id 107
108,20,5,59,1,Some Random Commen with Id 108
109,20,5,261,5,Some Random Commen with Id 109
110,20,5,133,8,Some Random Commen with Id 110
111,20,5,123,5,Some Random Commen with Id 111
112,20,5,245,1,Some Random Commen with Id 112
113,20,5,159,8,Some Random Commen with Id 113
114,20,5,186,2,Some Random Commen with Id 114
115,20,5,292,8,Some Random Commen with Id 115
116,21,8,20,8,Some Random Commen with Id 116
117,21,8,366,5,Some Random Commen with Id 117
118,21,8,291,1,Some Random Commen with Id 118
119,21,8,345,8,Some Random Commen with Id 119
120,21,8,128,4,Some Random Commen with Id 120
121,21,8,118,7,Some Random Commen with Id 121
122,22,0,173,5,Some Random Commen with Id 122
123,23,7,377,5,Some Random Commen with Id 123
124,23,7,388,7,Some Random Commen with Id 124
125,24,0,196,3,Some Random Commen with Id 125
126,24,0,31,0,Some Random Commen with Id 126
127,24,0,106,4,Some Random Commen with Id 127
128,24,0,182,2,Some Random Commen with Id 128
129,24,0,386,3,Some Random Commen with Id 129
130,24,0,290,1,Some Random Commen with Id 130
131,24,0,112,5,Some Random Commen with Id 131
132,25,5,116,2,Some Random Commen with Id 132
133,25,5,240,1,Some Random Commen with Id 133
134,25,5,171,8,Some Random Commen with Id 134
135,25,5,112,2,Some Random Commen with Id 135
136,25,5,370,0,Some Random Commen with Id 136
137,25,5,86,3,Some Random Commen with Id 137
138,25,5,70,0,Some Random Commen with Id 138
139,25,5,92,9,Some Random Commen with Id 139
140,27,0,299,2,Some Random Commen with Id 140
141,27,0,47,0,Some Random Commen with Id 141
142,27,0,110,6,Some Random Commen with Id 142
143,27,0,82,6,Some Random Commen with Id 143
144,27,0,23,8,Some Random Commen with Id 144
145,29,0,334,9,Some Random Commen with Id 145
146,29,0,314,9,Some Random Commen with Id 146
147,29,0,168,1,Some Random Commen with Id 147
148,30,3,385,2,Some Random Commen with Id 148
149,30,3,324,7,Some Random Commen with Id 149
150,30,3,219,2,Some Random Commen with Id 150
151,30,3,203,0,Some Random Commen with Id 151
152,30,3,148,4,Some Random Commen with Id 152
153,31,3,15,9,Some Random Commen with Id 153
154,31,3,125,7,Some Random Commen with Id 154
155,31,3,320,4,Some Random Commen with Id 155
156,31,3,141,2,Some Random Commen with Id 156
157,31,3,327,3,Some Random Commen with Id 157
158,31,3,156,8,Some Random Commen with Id 158
159,31,3,52,4,Some Random Commen with Id 159
160,32,3,377,8,Some Random Commen with Id 160
161,32,3,384,9,Some Random Commen with Id 161
162,32,3,141,4,Some Random Commen with Id 162
163,32,3,387,8,Some Random Commen with Id 163
164,32,3,172,7,Some Random Commen with Id 164
165,32,3,260,3,Some Random Commen with Id 165
166,33,0,281,0,Some Random Commen with Id 166
167,33,0,394,0,Some Random Commen with Id 167
168,33,0,162,0,Some Random Commen with Id 168
169,34,9,390,0,Some Random Commen with Id 169
170,35,1,185,2,Some Random Commen with Id 170
171,35,1,263,6,Some Random Commen with Id 171
172,35,1,27,5,Some Random Commen with Id 172
173,35,1,263,2,Some Random Commen with Id 173
174,36,6,271,3,Some Random Commen with Id 174
175,36,6,391,7,Some Random Commen with Id 175
176,36,6,67,9,Some Random Commen with Id 176
177,36,6,118,7,Some Random Commen with Id 177
178,36,6,370,1,Some Random Commen with Id 178
179,36,6,255,3,Some Random Commen with Id 179
180,36,6,228,7,Some Random Commen with Id 180
181,36,6,305,8,Some Random Commen with Id 181
182,36,6,13,0,Some Random Commen with Id 182
183,37,2,222,0,Some Random Commen with Id 183
184,37,2,274,1,Some Random Commen with Id 184
185,37,2,139,6,Some Random Commen with Id 185
186,37,2,101,9,Some Random Commen with Id 186
187,37,2,118,2,Some Random Commen with Id 187
188,37,2,384,9,Some Random Commen with Id 188
189,37,2,138,0,Some Random Commen with Id 189
190,37,2,4,4,Some Random Commen with Id 190
191,37,2,276,8,Some Random Commen with Id 191
192,38,8,204,2,Some Random Commen with Id 192
193,38,8,206,2,Some Random Commen with Id 193
194,38,8,386,5,Some Random Commen with Id 194
195,38,8,223,4,Some Random Commen with Id 195
